date,product,sales,quantity,region,customer_type
2023-01-15,ProductA,1000000,100,Tokyo,new
2023-01-15,ProductB,500000,50,Osaka,existing
2023-01-15,ProductC,300000,30,Nagoya,new
2023-02-15,ProductA,1200000,120,Tokyo,new
2023-02-15,ProductB,520000,52,Osaka,existing
2023-02-15,ProductC,310000,31,Nagoya,new
2023-03-15,ProductA,800000,80,Tokyo,new
2023-03-15,ProductB,480000,48,Osaka,existing
2023-03-15,ProductC,290000,29,Nagoya,new
2023-04-15,ProductA,850000,85,Tokyo,new
2023-04-15,ProductB,490000,49,Osaka,existing
2023-04-15,ProductC,295000,29,Nagoya,new
2023-05-15,ProductA,900000,90,Tokyo,new
2023-05-15,ProductB,510000,51,Osaka,existing
2023-05-15,ProductC,305000,30,Nagoya,new
2023-06-15,ProductA,1300000,130,Tokyo,new
2023-06-15,ProductB,550000,55,Osaka,existing
2023-06-15,ProductC,350000,35,Nagoya,new
2023-07-15,ProductA,1350000,135,Tokyo,new
2023-07-15,ProductB,560000,56,Osaka,existing
2023-07-15,ProductC,360000,36,Nagoya,new
2023-08-15,ProductA,1400000,140,Tokyo,new
2023-08-15,ProductB,570000,57,Osaka,existing
2023-08-15,ProductC,370000,37,Nagoya,new
2023-09-15,ProductA,1100000,110,Tokyo,new
2023-09-15,ProductB,530000,53,Osaka,existing
2023-09-15,ProductC,320000,32,Nagoya,new
2023-10-15,ProductA,1150000,115,Tokyo,new
2023-10-15,ProductB,540000,54,Osaka,existing
2023-10-15,ProductC,330000,33,Nagoya,new
2023-11-15,ProductA,1600000,160,Tokyo,new
2023-11-15,ProductB,600000,60,Osaka,existing
2023-11-15,ProductC,400000,40,Nagoya,new
2023-12-15,ProductA,1800000,180,Tokyo,new
2023-12-15,ProductB,650000,65,Osaka,existing
2023-12-15,ProductC,450000,45,Nagoya,new
